2026-03-04 04:59:44,503 INFO [start_server.py:849] {'encoder': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\am-onnx\\encoder.onnx', 'decoder': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\am-onnx\\decoder.onnx', 'joiner': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\am-onnx\\joiner.onnx', 'zipformer2_ctc': None, 'wenet_ctc': None, 'paraformer_encoder': None, 'paraformer_decoder': None, 'tokens': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\lang\\tokens.txt', 'sample_rate': 16000, 'feat_dim': 80, 'provider': 'cpu', 'decoding_method': 'modified_beam_search', 'num_active_paths': 6, 'use_endpoint': 0, 'rule1_min_trailing_silence': 2.4, 'rule2_min_trailing_silence': 1.2, 'rule3_min_utterance_length': 20, 'hotwords_file': 'C:\\Nirmita\\logs\\sherpa_hotwords.resolved.txt', 'hotwords_score': 3.5, 'modeling_unit': 'bpe', 'bpe_vocab': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\lang\\unigram_500.vocab', 'blank_penalty': 0.0, 'port': 6106, 'nn_pool_size': 1, 'max_batch_size': 3, 'max_wait_ms': 10, 'max_message_size': 1048576, 'max_queue_size': 32, 'max_active_connections': 200, 'num_threads': 2, 'certificate': None, 'doc_root': 'C:\\Nirmita\\apps\\stt-sherpa-server'}
2026-03-04 04:59:45,914 INFO [start_server.py:667] No certificate provided
2026-03-04 04:59:45,917 INFO [server.py:341] server listening on [::]:6106
2026-03-04 04:59:45,917 INFO [server.py:341] server listening on 0.0.0.0:6106
2026-03-04 04:59:45,917 INFO [start_server.py:693] Please visit one of the following addresses:

  http://localhost:6106

Since you are not providing a certificate, you cannot use your microphone from within the browser using public IP addresses. Only localhost can be used.You also cannot use 0.0.0.0 or 127.0.0.1
2026-03-04 05:00:59,678 INFO [server.py:529] connection open
2026-03-04 05:00:59,678 INFO [start_server.py:734] Connected: ('127.0.0.1', 10629). Number of connections: 1/200
2026-03-04 05:00:59,679 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,685 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,686 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,686 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,710 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,710 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,711 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,712 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,732 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,732 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,733 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,752 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,752 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,752 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,771 INFO [start_server.py:750] Accepting 1792 samples from ('127.0.0.1', 10629)
2026-03-04 05:00:59,771 INFO [start_server.py:745] Received Done from ('127.0.0.1', 10629)
2026-03-04 05:00:59,772 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 10629). Number of connections: 0/200
2026-03-04 05:01:07,117 INFO [server.py:529] connection open
2026-03-04 05:01:07,117 INFO [start_server.py:734] Connected: ('127.0.0.1', 14120). Number of connections: 1/200
2026-03-04 05:01:07,119 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 14120)
2026-03-04 05:01:07,123 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 14120)
2026-03-04 05:01:07,123 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 14120)
2026-03-04 05:01:07,123 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 14120)
2026-03-04 05:01:07,150 INFO [start_server.py:750] Accepting 1024 samples from ('127.0.0.1', 14120)
2026-03-04 05:01:07,150 INFO [start_server.py:745] Received Done from ('127.0.0.1', 14120)
2026-03-04 05:01:07,151 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 14120). Number of connections: 0/200
2026-03-04 05:01:12,526 INFO [server.py:529] connection open
2026-03-04 05:01:12,526 INFO [start_server.py:734] Connected: ('127.0.0.1', 7584). Number of connections: 1/200
2026-03-04 05:01:12,527 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,533 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,534 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,534 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,560 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,561 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,562 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,562 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,587 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,587 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,589 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,615 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,616 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,616 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,644 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,646 INFO [start_server.py:750] Accepting 2176 samples from ('127.0.0.1', 7584)
2026-03-04 05:01:12,646 INFO [start_server.py:745] Received Done from ('127.0.0.1', 7584)
2026-03-04 05:01:12,671 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 7584). Number of connections: 0/200
2026-03-04 05:01:27,218 INFO [server.py:529] connection open
2026-03-04 05:01:27,218 INFO [start_server.py:734] Connected: ('127.0.0.1', 7603). Number of connections: 1/200
2026-03-04 05:01:27,219 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7603)
2026-03-04 05:01:27,222 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7603)
2026-03-04 05:01:27,222 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7603)
2026-03-04 05:01:27,223 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7603)
2026-03-04 05:01:27,255 INFO [start_server.py:750] Accepting 1024 samples from ('127.0.0.1', 7603)
2026-03-04 05:01:27,255 INFO [start_server.py:745] Received Done from ('127.0.0.1', 7603)
2026-03-04 05:01:27,255 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 7603). Number of connections: 0/200
2026-03-04 05:01:49,544 INFO [server.py:529] connection open
2026-03-04 05:01:49,544 INFO [start_server.py:734] Connected: ('127.0.0.1', 7607). Number of connections: 1/200
2026-03-04 05:01:49,545 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,550 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,550 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,550 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,571 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,571 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,572 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,572 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,591 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,592 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,593 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,613 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,614 INFO [start_server.py:750] Accepting 3072 samples from ('127.0.0.1', 7607)
2026-03-04 05:01:49,614 INFO [start_server.py:745] Received Done from ('127.0.0.1', 7607)
2026-03-04 05:01:49,635 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 7607). Number of connections: 0/200
