2026-03-05 17:34:44,843 INFO [start_server.py:849] {'encoder': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\am-onnx\\encoder.onnx', 'decoder': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\am-onnx\\decoder.onnx', 'joiner': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\am-onnx\\joiner.onnx', 'zipformer2_ctc': None, 'wenet_ctc': None, 'paraformer_encoder': None, 'paraformer_decoder': None, 'tokens': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\lang\\tokens.txt', 'sample_rate': 16000, 'feat_dim': 80, 'provider': 'cpu', 'decoding_method': 'modified_beam_search', 'num_active_paths': 6, 'use_endpoint': 0, 'rule1_min_trailing_silence': 2.4, 'rule2_min_trailing_silence': 1.2, 'rule3_min_utterance_length': 20, 'hotwords_file': 'C:\\Nirmita\\logs\\sherpa_hotwords.resolved.txt', 'hotwords_score': 3.5, 'modeling_unit': 'bpe', 'bpe_vocab': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\lang\\unigram_500.vocab', 'blank_penalty': 0.0, 'port': 6106, 'nn_pool_size': 1, 'max_batch_size': 3, 'max_wait_ms': 10, 'max_message_size': 1048576, 'max_queue_size': 32, 'max_active_connections': 200, 'num_threads': 2, 'certificate': None, 'doc_root': 'C:\\Nirmita\\apps\\stt-sherpa-server'}
2026-03-05 17:34:46,268 INFO [start_server.py:667] No certificate provided
2026-03-05 17:34:46,271 INFO [server.py:341] server listening on [::]:6106
2026-03-05 17:34:46,271 INFO [server.py:341] server listening on 0.0.0.0:6106
2026-03-05 17:34:46,271 INFO [start_server.py:693] Please visit one of the following addresses:

  http://localhost:6106

Since you are not providing a certificate, you cannot use your microphone from within the browser using public IP addresses. Only localhost can be used.You also cannot use 0.0.0.0 or 127.0.0.1
2026-03-05 17:35:28,770 INFO [server.py:529] connection open
2026-03-05 17:35:28,770 INFO [start_server.py:734] Connected: ('127.0.0.1', 4253). Number of connections: 1/200
2026-03-05 17:35:28,771 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4253)
2026-03-05 17:35:28,776 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4253)
2026-03-05 17:35:28,777 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4253)
2026-03-05 17:35:28,777 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4253)
2026-03-05 17:35:28,803 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4253)
2026-03-05 17:35:28,803 INFO [start_server.py:750] Accepting 1920 samples from ('127.0.0.1', 4253)
2026-03-05 17:35:28,804 INFO [start_server.py:745] Received Done from ('127.0.0.1', 4253)
2026-03-05 17:35:28,824 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 4253). Number of connections: 0/200
2026-03-05 17:35:29,196 INFO [server.py:529] connection open
2026-03-05 17:35:29,196 INFO [start_server.py:734] Connected: ('127.0.0.1', 4254). Number of connections: 1/200
2026-03-05 17:35:29,198 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4254)
2026-03-05 17:35:29,203 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4254)
2026-03-05 17:35:29,203 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4254)
2026-03-05 17:35:29,203 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4254)
2026-03-05 17:35:29,224 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4254)
2026-03-05 17:35:29,225 INFO [start_server.py:750] Accepting 1920 samples from ('127.0.0.1', 4254)
2026-03-05 17:35:29,225 INFO [start_server.py:745] Received Done from ('127.0.0.1', 4254)
2026-03-05 17:35:29,245 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 4254). Number of connections: 0/200
2026-03-05 17:35:37,079 INFO [server.py:529] connection open
2026-03-05 17:35:37,079 INFO [start_server.py:734] Connected: ('127.0.0.1', 4255). Number of connections: 1/200
2026-03-05 17:35:37,080 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,086 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,087 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,088 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,113 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,114 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,114 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,115 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,140 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,140 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,141 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,166 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,166 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,167 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,188 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,189 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,189 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,211 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,213 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,213 INFO [start_server.py:750] Accepting 128 samples from ('127.0.0.1', 4255)
2026-03-05 17:35:37,213 INFO [start_server.py:745] Received Done from ('127.0.0.1', 4255)
2026-03-05 17:35:37,236 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 4255). Number of connections: 0/200
2026-03-05 17:35:41,938 INFO [server.py:529] connection open
2026-03-05 17:35:41,939 INFO [start_server.py:734] Connected: ('127.0.0.1', 4273). Number of connections: 1/200
2026-03-05 17:35:41,940 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4273)
2026-03-05 17:35:41,944 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4273)
2026-03-05 17:35:41,945 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4273)
2026-03-05 17:35:41,946 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4273)
2026-03-05 17:35:41,972 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4273)
2026-03-05 17:35:41,972 INFO [start_server.py:750] Accepting 1920 samples from ('127.0.0.1', 4273)
2026-03-05 17:35:41,973 INFO [start_server.py:745] Received Done from ('127.0.0.1', 4273)
2026-03-05 17:35:41,997 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 4273). Number of connections: 0/200
2026-03-05 17:35:43,887 INFO [server.py:529] connection open
2026-03-05 17:35:43,888 INFO [start_server.py:734] Connected: ('127.0.0.1', 4274). Number of connections: 1/200
2026-03-05 17:35:43,889 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4274)
2026-03-05 17:35:43,895 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4274)
2026-03-05 17:35:43,896 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 4274)
