2026-09-03 21:35:20,393 INFO [start_server.py:849] {'encoder': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\am-onnx\\encoder.onnx', 'decoder': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\am-onnx\\decoder.onnx', 'joiner': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\am-onnx\\joiner.onnx', 'zipformer2_ctc': None, 'wenet_ctc': None, 'paraformer_encoder': None, 'paraformer_decoder': None, 'tokens': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\lang\\tokens.txt', 'sample_rate': 16000, 'feat_dim': 80, 'provider': 'cpu', 'decoding_method': 'modified_beam_search', 'num_active_paths': 6, 'use_endpoint': 0, 'rule1_min_trailing_silence': 2.4, 'rule2_min_trailing_silence': 1.2, 'rule3_min_utterance_length': 20, 'hotwords_file': 'C:\\Nirmita\\logs\\sherpa_hotwords.resolved.txt', 'hotwords_score': 3.5, 'modeling_unit': 'bpe', 'bpe_vocab': 'C:\\Nirmita\\models\\vosk-model-small-streaming-ru\\lang\\unigram_500.vocab', 'blank_penalty': 0.0, 'port': 6106, 'nn_pool_size': 1, 'max_batch_size': 3, 'max_wait_ms': 10, 'max_message_size': 1048576, 'max_queue_size': 32, 'max_active_connections': 200, 'num_threads': 2, 'certificate': None, 'doc_root': 'C:\\Nirmita\\apps\\stt-sherpa-server'}
2026-09-03 21:35:21,844 INFO [start_server.py:667] No certificate provided
2026-09-03 21:35:21,847 INFO [server.py:341] server listening on [::]:6106
2026-09-03 21:35:21,847 INFO [server.py:341] server listening on 0.0.0.0:6106
2026-09-03 21:35:21,847 INFO [start_server.py:693] Please visit one of the following addresses:

  http://localhost:6106

Since you are not providing a certificate, you cannot use your microphone from within the browser using public IP addresses. Only localhost can be used.You also cannot use 0.0.0.0 or 127.0.0.1
2026-09-03 21:35:44,245 INFO [server.py:529] connection open
2026-09-03 21:35:44,245 INFO [start_server.py:734] Connected: ('127.0.0.1', 1973). Number of connections: 1/200
2026-09-03 21:35:44,247 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1973)
2026-09-03 21:35:44,248 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1973)
2026-09-03 21:35:44,249 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1973)
2026-09-03 21:35:44,249 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1973)
2026-09-03 21:35:44,274 INFO [start_server.py:750] Accepting 2040 samples from ('127.0.0.1', 1973)
2026-09-03 21:35:44,274 INFO [start_server.py:745] Received Done from ('127.0.0.1', 1973)
2026-09-03 21:35:44,276 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 1973). Number of connections: 0/200
2026-09-03 21:35:46,895 INFO [server.py:529] connection open
2026-09-03 21:35:46,896 INFO [start_server.py:734] Connected: ('127.0.0.1', 1977). Number of connections: 1/200
2026-09-03 21:35:46,896 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1977)
2026-09-03 21:35:46,897 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1977)
2026-09-03 21:35:46,898 INFO [start_server.py:750] Accepting 1280 samples from ('127.0.0.1', 1977)
2026-09-03 21:35:46,898 INFO [start_server.py:745] Received Done from ('127.0.0.1', 1977)
2026-09-03 21:35:46,922 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 1977). Number of connections: 0/200
2026-09-03 21:35:56,519 INFO [server.py:529] connection open
2026-09-03 21:35:56,519 INFO [start_server.py:734] Connected: ('127.0.0.1', 1980). Number of connections: 1/200
2026-09-03 21:35:56,519 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1980)
2026-09-03 21:35:56,523 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1980)
2026-09-03 21:35:56,524 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1980)
2026-09-03 21:35:56,524 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1980)
2026-09-03 21:35:56,548 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1980)
2026-09-03 21:35:56,549 INFO [start_server.py:750] Accepting 2680 samples from ('127.0.0.1', 1980)
2026-09-03 21:35:56,549 INFO [start_server.py:745] Received Done from ('127.0.0.1', 1980)
2026-09-03 21:35:56,579 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 1980). Number of connections: 0/200
2026-09-03 21:35:58,033 INFO [server.py:529] connection open
2026-09-03 21:35:58,033 INFO [start_server.py:734] Connected: ('127.0.0.1', 1982). Number of connections: 1/200
2026-09-03 21:35:58,034 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1982)
2026-09-03 21:35:58,037 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1982)
2026-09-03 21:35:58,037 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1982)
2026-09-03 21:35:58,038 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1982)
2026-09-03 21:35:58,066 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1982)
2026-09-03 21:35:58,067 INFO [start_server.py:750] Accepting 3200 samples from ('127.0.0.1', 1982)
2026-09-03 21:35:58,067 INFO [start_server.py:750] Accepting 1120 samples from ('127.0.0.1', 1982)
2026-09-03 21:35:58,067 INFO [start_server.py:745] Received Done from ('127.0.0.1', 1982)
2026-09-03 21:35:58,088 INFO [start_server.py:718] Disconnected: ('127.0.0.1', 1982). Number of connections: 0/200
2026-09-03 21:35:59,394 INFO [server.py:529] connection open
