case_id,ok,error,ttfb_ms,max_gap_ms,total_ms,audio_s,rtf,bytes_total,sample_rate,emit_every_frames,decode_window_frames,max_frames,overlap_samples,use_optimized_decode,do_sample,temperature,top_p,top_k
e4_d32_m56_opt1,True,,1151.4957999897888,1041.411700003664,14450.403399998322,4.477125,3.227607761677041,214902,24000,4,32,56,0,True,False,0.8,0.9,50
e6_d48_m56_opt1,True,,1601.2817000009818,1629.971200003638,14677.18060000334,4.476166666666667,3.2789620434158704,214856,24000,6,48,56,0,True,False,0.8,0.9,50
e8_d64_m56_opt1,True,,2154.798799994751,2124.9211999966064,14771.743200006313,4.477125,3.299381455734721,214902,24000,8,64,56,0,True,False,0.8,0.9,50
e10_d80_m56_opt1,True,,2668.2587999966927,2675.423199994839,14767.47219999379,4.474666666666667,3.3002396156124383,214784,24000,10,80,56,0,True,False,0.8,0.9,50
e12_d96_m56_opt1,True,,3279.448000001139,3241.0793000017293,14979.952499998035,4.473833333333333,3.34834835897583,214744,24000,12,96,56,0,True,False,0.8,0.9,50
e8_d64_m56_opt0,True,,2261.9539000006625,2200.8098999940557,15136.459699991974,4.456875,3.3962046725546426,213930,24000,8,64,56,0,False,False,0.8,0.9,50
e4_d32_m80_opt1,True,,1102.40829999384,1102.8747000091244,14834.151699993527,4.477125,3.3133208699764976,214902,24000,4,32,80,0,True,False,0.8,0.9,50
e8_d64_m80_opt1,True,,2118.639799999073,2133.1294999981765,14554.172299991478,4.477125,3.2507853365701154,214902,24000,8,64,80,0,True,False,0.8,0.9,50
